TransactionID,PaymentMethod,PaymentChannel,UPIApp,PayerPhoneNumber,PayerPhoneVerified,PayerUPIID,PayeeUPIID,IsQRTransaction,QRType,PaymentReference,ContactPresent,PaymentFraudScore
TXN00017,Phone Number,Mobile-Peer,Google Pay,9154303911,True,user17@paytm,user17@paytm,0,Dynamic,REF842T02X5,True,0.044
TXN00018,QR Code,POS/QR,PhonePe,7718227824,True,user18@sbi,user18@axis,1,Dynamic,REF94EP8KYR,True,0.036
TXN00019,Phone Number,Mobile-Peer,PhonePe,7963834657,True,user19@sbi,user19@upi,0,Static,REFS9JFNABM,True,0.043
TXN00020,Phone Number,Mobile-Peer,Paytm,7713315098,True,user20@paytm,user20@okaxis,0,Static,REFXF6IXDXA,True,0.013
TXN00021,QR Code,POS/QR,PhonePe,9930103105,True,user21@upi,user21@hdfc,1,Static,REFTT5O4G4Y,True,0.078
TXN00022,Phone Number,Mobile-Peer,BHIM,9834738299,True,user22@axis,user22@axis,0,Static,REFW3NSCWDA,True,0.021
TXN00023,Phone Number,Mobile-Peer,Paytm,8376311656,True,user23@hdfc,user23@sbi,0,Static,REF2240M3HQ,True,0.049
TXN00024,Phone Number,Mobile-Peer,Google Pay,8701065133,True,user24@sbi,user24@okaxis,0,Static,REFCJJLVBBS,True,0.072
TXN00025,QR Code,POS/QR,PhonePe,9872624731,True,user25@upi,user25@upi,1,Static,REFDRH9XOXO,True,0.004
TXN00026,QR Code,POS/QR,Google Pay,8810801326,False,user26@okaxis,user26@upi,1,Static,REFNAGJJ2T1,True,0.039
TXN00027,Phone Number,Mobile-Peer,PhonePe,8736026064,True,user27@paytm,user27@sbi,0,Static,REFSCE2TXJB,True,0.011
TXN00028,QR Code,POS/QR,PhonePe,8468723430,True,user28@upi,user28@sbi,1,Static,REFWUFKP02N,True,0.091
TXN00029,QR Code,POS/QR,Paytm,7805009788,True,user29@okaxis,user29@icici,1,Static,REFVUVXG57J,True,0.036
TXN00030,Phone Number,Mobile-Peer,PhonePe,9081219136,True,user30@axis,user30@upi,0,Static,REF446WCF78,True,0.017
TXN00031,QR Code,POS/QR,Google Pay,9939909169,True,user31@okaxis,user31@sbi,1,Dynamic,REF368YOTS9,True,0.068
TXN00032,Phone Number,Mobile-Peer,Paytm,7854353462,True,user32@hdfc,user32@icici,0,Static,REFQMV8WWIE,True,0.043
TXN00033,Phone Number,Mobile-Peer,PhonePe,7475107991,True,user33@hdfc,user33@icici,0,Dynamic,REFWNPMCI76,True,0.065
TXN00034,UPI ID,VPA-Intent,Google Pay,9838425135,True,user34@okaxis,user34@sbi,0,Static,REFEQV9ZEI3,True,0.045
TXN00035,UPI ID,VPA-Intent,Google Pay,8278498084,True,user35@paytm,user35@upi,0,Static,REF3YQV0AM9,True,0.058
TXN00036,UPI ID,VPA-Intent,Google Pay,7124118244,True,user36@icici,user36@axis,0,Dynamic,REFZ1YQMPJB,True,0.005
TXN00037,Phone Number,Mobile-Peer,Paytm,7353487401,False,user37@hdfc,user37@sbi,0,Static,REFSIK7KM98,True,0.006
TXN00038,Phone Number,Mobile-Peer,BHIM,7640052427,True,user38@okaxis,user38@paytm,0,Static,REF1GUDHZ2E,True,0.073
TXN00039,QR Code,POS/QR,Google Pay,7680112805,False,user39@icici,user39@paytm,1,Dynamic,REFJCW72T9U,True,0.096
TXN00040,Phone Number,Mobile-Peer,Google Pay,7826204505,True,user40@paytm,user40@okaxis,0,Static,REF5LM9OF3J,True,0.033
TXN00041,Phone Number,Mobile-Peer,Google Pay,9315869232,True,user41@paytm,user41@paytm,0,Static,REFG0ZOEL12,True,0.036
TXN00042,QR Code,POS/QR,Paytm,9602563421,False,user42@icici,user42@okaxis,1,Dynamic,REFRLO4JWA1,True,0.037
TXN00043,Phone Number,Mobile-Peer,Google Pay,8073375433,True,user43@upi,user43@axis,0,Dynamic,REF94LL3YPJ,True,0.062
TXN00044,UPI ID,VPA-Intent,PhonePe,9365414586,True,user44@axis,user44@okaxis,0,Static,REFS6ENWBSQ,True,0.046
TXN00045,Phone Number,Mobile-Peer,PhonePe,7850142940,True,user45@sbi,user45@sbi,0,Static,REFV4EQBZJ2,True,0.018
TXN00046,QR Code,POS/QR,BHIM,9965569816,True,user46@sbi,user46@upi,1,Dynamic,REFPA59C2N0,True,0.038
TXN00047,Phone Number,Mobile-Peer,PhonePe,7340608835,False,user47@paytm,user47@axis,0,Static,REF6DXVPEI9,True,0.017
TXN00048,QR Code,POS/QR,Google Pay,8159514846,True,user48@sbi,user48@sbi,1,Static,REFL4ISBTE1,True,0.005
TXN00049,QR Code,POS/QR,Paytm,8648236629,False,user49@sbi,user49@okaxis,1,Static,REFAMWKPOZR,True,0.006
TXN00050,Phone Number,Mobile-Peer,PhonePe,7468044369,True,user50@axis,user50@axis,0,Dynamic,REF3SL4M65R,True,0.012
TXN00051,UPI ID,VPA-Intent,Google Pay,7577738721,True,user51@sbi,user51@paytm,0,Static,REF6AYPF620,True,0.002
TXN00052,QR Code,POS/QR,PhonePe,8895134332,True,user52@upi,user52@axis,1,Dynamic,REFUX728OK1,True,0.042
TXN00053,UPI ID,VPA-Intent,BHIM,9037917693,True,user53@sbi,user53@sbi,0,Static,REFYF5FYF7P,True,0.004
TXN00054,UPI ID,VPA-Intent,PhonePe,7676320163,True,user54@icici,user54@hdfc,0,Static,REFPMHKUPSD,True,0.051
TXN00055,QR Code,POS/QR,Google Pay,9870831727,True,user55@upi,user55@upi,1,Dynamic,REFD8DOURAV,True,0.071
TXN00056,UPI ID,VPA-Intent,Google Pay,7889579868,True,user56@okaxis,user56@hdfc,0,Dynamic,REFCBYLZTGD,True,0.047
TXN00057,Phone Number,Mobile-Peer,Paytm,8277434873,True,user57@hdfc,user57@icici,0,Static,REFE6RO0SDH,True,0.049
TXN00058,Phone Number,Mobile-Peer,PhonePe,8714345581,True,user58@paytm,user58@sbi,0,Static,REFHW91SEEG,True,0.053
TXN00059,Phone Number,Mobile-Peer,Google Pay,9236231665,True,user59@icici,user59@axis,0,Dynamic,REFT4V3XYJQ,True,0.009
TXN00060,Phone Number,Mobile-Peer,PhonePe,7760366909,True,user60@upi,user60@okaxis,0,Static,REFGUR3FOFI,True,0.005
TXN00061,Phone Number,Mobile-Peer,PhonePe,8705466889,True,user61@axis,user61@upi,0,Static,REFC6X8XSVY,True,0.079
TXN00062,Phone Number,Mobile-Peer,Paytm,9734670656,True,user62@sbi,user62@paytm,0,Static,REFAXGKKWTV,True,0.03
TXN00063,UPI ID,VPA-Intent,PhonePe,7272980699,True,user63@okaxis,user63@icici,0,Dynamic,REF9OMT2828,True,0.003
TXN00064,Phone Number,Mobile-Peer,Paytm,7016272046,True,user64@hdfc,user64@okaxis,0,Dynamic,REF7G0RRK20,True,0.013
TXN00065,Phone Number,Mobile-Peer,Paytm,8375564641,True,user65@upi,user65@icici,0,Dynamic,REFXDGCUXFD,True,0.07
TXN00066,QR Code,POS/QR,BHIM,8080531003,True,user66@icici,user66@okaxis,1,Static,REF3XUATM6J,True,0.021
TXN00067,Phone Number,Mobile-Peer,Google Pay,9092327193,True,user67@icici,user67@icici,0,Static,REFBLO6IR31,True,0.037
TXN00068,UPI ID,VPA-Intent,PhonePe,8452991241,True,user68@upi,user68@upi,0,Static,REFJ1FCEWX3,True,0.04
TXN00069,Phone Number,Mobile-Peer,Google Pay,7049663193,True,user69@okaxis,user69@icici,0,Static,REF59TVAYMH,True,0.077
TXN00070,UPI ID,VPA-Intent,BHIM,9491905865,True,user70@paytm,user70@axis,0,Static,REF7WUB7WPS,True,0.001
TXN00071,QR Code,POS/QR,Paytm,9850671657,True,user71@paytm,user71@hdfc,1,Static,REFJBVF96R6,True,0.049
TXN00072,Phone Number,Mobile-Peer,Google Pay,7262849877,True,user72@hdfc,user72@upi,0,Static,REFSAO26TOV,True,0.08
TXN00073,Phone Number,Mobile-Peer,BHIM,8945314737,True,user73@hdfc,user73@icici,0,Static,REFRD1QCIWT,True,0.01
TXN00074,UPI ID,VPA-Intent,Paytm,7965075273,True,user74@sbi,user74@hdfc,0,Static,REF1A9NMOGW,True,0.007
TXN00075,QR Code,POS/QR,BHIM,8454948083,True,user75@hdfc,user75@icici,1,Dynamic,REFO2X1PO44,True,0.009
TXN00076,QR Code,POS/QR,Google Pay,9367837770,True,user76@okaxis,user76@hdfc,1,Static,REFC9D5H9AV,True,0.051
TXN00077,QR Code,POS/QR,Paytm,9436349578,True,user77@axis,user77@okaxis,1,Static,REFIVJ3H8HF,True,0.035
TXN00078,Phone Number,Mobile-Peer,Paytm,7568557444,True,user78@sbi,user78@axis,0,Static,REFD2MAV3KO,True,0.057
TXN00079,Phone Number,Mobile-Peer,PhonePe,9135182337,True,user79@sbi,user79@icici,0,Dynamic,REFYJLEQD0Z,True,0.046
TXN00080,Phone Number,Mobile-Peer,BHIM,8989413435,True,user80@paytm,user80@upi,0,Static,REF25M42GNO,True,0.046
TXN00081,UPI ID,VPA-Intent,PhonePe,9408240084,True,user81@hdfc,user81@upi,0,Static,REF66B2UIEQ,True,0.031
TXN00082,QR Code,POS/QR,Google Pay,7271094777,True,user82@icici,user82@icici,1,Static,REFNH2NFQ9M,True,0.099
TXN00083,Phone Number,Mobile-Peer,Paytm,8204711671,True,user83@sbi,user83@axis,0,Static,REF03VQJ94V,True,0.043
TXN00084,Phone Number,Mobile-Peer,Google Pay,7022941318,True,user84@axis,user84@icici,0,Dynamic,REFQBA4KKZZ,True,0.006
TXN00085,Phone Number,Mobile-Peer,Paytm,8999386774,True,user85@hdfc,user85@axis,0,Static,REFF1VNZ1N2,True,0.026
TXN00086,Phone Number,Mobile-Peer,Google Pay,7649909133,True,user86@upi,user86@hdfc,0,Static,REFQUPY39M9,True,0.062
TXN00087,QR Code,POS/QR,PhonePe,8123281206,True,user87@icici,user87@icici,1,Static,REFQYNYJGPE,True,0.063
TXN00088,QR Code,POS/QR,PhonePe,8974034471,True,user88@hdfc,user88@upi,1,Static,REFO8EEJSCB,True,0.068
TXN00089,UPI ID,VPA-Intent,Google Pay,7349361832,True,user89@hdfc,user89@icici,0,Static,REFB4FOK8NG,True,0.055
TXN00090,QR Code,POS/QR,Paytm,8210249947,True,user90@okaxis,user90@paytm,1,Static,REF4M27LZ7L,True,0.044
TXN00091,Phone Number,Mobile-Peer,PhonePe,9746488771,True,user91@axis,user91@okaxis,0,Dynamic,REF2B0PUT9P,True,0.002
TXN00092,QR Code,POS/QR,Google Pay,7065940139,True,user92@sbi,user92@sbi,1,Dynamic,REFCH7FVDNP,True,0.099
TXN00093,QR Code,POS/QR,PhonePe,7049027874,True,user93@sbi,user93@hdfc,1,Dynamic,REF6YP1WGC7,True,0.045
TXN00094,QR Code,POS/QR,Paytm,9967175655,True,user94@hdfc,user94@icici,1,Static,REF1GM8IDGS,True,0.01
TXN00095,QR Code,POS/QR,PhonePe,7125674680,True,user95@axis,user95@icici,1,Static,REFVX8P899L,True,0.055
TXN00096,QR Code,POS/QR,Paytm,8154516808,True,user96@icici,user96@okaxis,1,Static,REFGP7RC3SX,True,0.059
TXN00097,QR Code,POS/QR,PhonePe,8603859770,False,user97@axis,user97@icici,1,Static,REFZMJEHQBC,True,0.056
TXN00098,Phone Number,Mobile-Peer,PhonePe,9482477109,True,user98@okaxis,user98@okaxis,0,Static,REFZXWEK4U0,True,0.077
TXN00099,Phone Number,Mobile-Peer,Paytm,9248086131,True,user99@icici,user99@axis,0,Dynamic,REF7D3PIK3Y,True,0.026
TXN00100,Phone Number,Mobile-Peer,Google Pay,8127484677,True,user100@okaxis,user100@okaxis,0,Static,REF19HZKLMI,True,0.003
TXN00101,Phone Number,Mobile-Peer,Google Pay,9782639821,True,user101@hdfc,user101@icici,0,Dynamic,REFXWQV4PHW,True,0.074
TXN00102,QR Code,POS/QR,Paytm,8658404499,False,user102@icici,user102@sbi,1,Static,REFJPXQK1HZ,True,0.019
TXN00103,Phone Number,Mobile-Peer,Google Pay,7727875588,True,user103@paytm,user103@axis,0,Static,REFPJ9GLWZY,True,0.06
TXN00104,QR Code,POS/QR,Paytm,8753396360,True,user104@sbi,user104@paytm,1,Static,REFIC0ET39V,True,0.02
TXN00105,UPI ID,VPA-Intent,Paytm,8766270289,False,user105@sbi,user105@okaxis,0,Static,REFUBX4CPRG,True,0.05
TXN00106,Phone Number,Mobile-Peer,Google Pay,8171870262,True,user106@icici,user106@upi,0,Static,REFWBYD04KQ,True,0.073
TXN00107,Phone Number,Mobile-Peer,PhonePe,9745961586,True,user107@hdfc,user107@okaxis,0,Dynamic,REFGOK09B4Y,True,0.008
TXN00108,QR Code,POS/QR,PhonePe,8780913431,True,user108@axis,user108@upi,1,Dynamic,REFOWWY340M,True,0.015
TXN00109,Phone Number,Mobile-Peer,BHIM,8117240050,True,user109@icici,user109@okaxis,0,Static,REFUICIUNIK,True,0.074
TXN00110,Phone Number,Mobile-Peer,BHIM,8556238692,True,user110@icici,user110@axis,0,Static,REFOPXCJ7A8,True,0.062
TXN00111,Phone Number,Mobile-Peer,PhonePe,9219693792,True,user111@paytm,user111@axis,0,Dynamic,REFM9IK9WCS,True,0.003
TXN00112,Phone Number,Mobile-Peer,PhonePe,9747407482,True,user112@okaxis,user112@axis,0,Dynamic,REFZIUV6K95,True,0.015
TXN00113,UPI ID,VPA-Intent,PhonePe,9759464743,True,user113@hdfc,user113@sbi,0,Static,REF1C6CCIGZ,True,0.025
TXN00114,UPI ID,VPA-Intent,Google Pay,8713695944,True,user114@okaxis,user114@okaxis,0,Dynamic,REF6PDX4M3E,True,0.052
TXN00115,QR Code,POS/QR,PhonePe,9640909743,True,user115@hdfc,user115@okaxis,1,Static,REFHMAOMJKG,True,0.015
TXN00116,UPI ID,VPA-Intent,Paytm,7533942104,True,user116@upi,user116@paytm,0,Static,REFB2IJXVUJ,True,0.043
TXN00117,UPI ID,VPA-Intent,BHIM,8095214562,True,user117@sbi,user117@upi,0,Static,REFFLPJQZZ9,True,0.005
TXN00118,Phone Number,Mobile-Peer,BHIM,9285884247,False,user118@icici,user118@sbi,0,Static,REFUOFL9B6B,True,0.037
TXN00119,UPI ID,VPA-Intent,PhonePe,8517123685,False,user119@upi,user119@upi,0,Static,REFN1V9AWH6,True,0.044
TXN00120,QR Code,POS/QR,BHIM,9604817549,True,user120@sbi,user120@icici,1,Static,REFHF8938RT,True,0.006
TXN00121,UPI ID,VPA-Intent,Paytm,8513709859,True,user121@icici,user121@paytm,0,Static,REF3HJL84KJ,True,0.012
TXN00122,UPI ID,VPA-Intent,PhonePe,9174612004,True,user122@hdfc,user122@hdfc,0,Dynamic,REF45J4W0HL,True,0.048
TXN00123,Phone Number,Mobile-Peer,Google Pay,8113826758,True,user123@upi,user123@upi,0,Dynamic,REFS8L7ILVL,True,0.013
TXN00124,Phone Number,Mobile-Peer,Paytm,8926179640,True,user124@hdfc,user124@axis,0,Static,REFKT7HOWR9,True,0.053
TXN00125,Phone Number,Mobile-Peer,BHIM,7537735158,True,user125@paytm,user125@axis,0,Static,REF69Z8NXCA,True,0.051
TXN00126,Phone Number,Mobile-Peer,PhonePe,7506431713,True,user126@axis,user126@axis,0,Static,REF7KEQ468P,True,0.042
TXN00127,UPI ID,VPA-Intent,PhonePe,7900532931,True,user127@icici,user127@hdfc,0,Static,REF01RVVL9O,True,0.012
TXN00128,UPI ID,VPA-Intent,Google Pay,7393352904,True,user128@hdfc,user128@icici,0,Static,REF8HFPYIWC,True,0.025
TXN00129,Phone Number,Mobile-Peer,BHIM,9284210205,True,user129@axis,user129@hdfc,0,Static,REF4XZ7UT5R,True,0.05
TXN00130,QR Code,POS/QR,BHIM,9950240268,True,user130@axis,user130@paytm,1,Static,REFKSZFQE61,True,0.088
TXN00131,Phone Number,Mobile-Peer,PhonePe,9177589178,True,user131@sbi,user131@okaxis,0,Static,REFOOYP3Y6Y,True,0.064
TXN00132,Phone Number,Mobile-Peer,PhonePe,9908470076,True,user132@axis,user132@upi,0,Static,REF7EG06M4I,True,0.049
TXN00133,Phone Number,Mobile-Peer,BHIM,8177115921,True,user133@paytm,user133@axis,0,Dynamic,REFIEOV3NDY,True,0.018
TXN00134,Phone Number,Mobile-Peer,Paytm,9499856984,True,user134@axis,user134@paytm,0,Static,REF6RKD89UN,True,0.017
TXN00135,UPI ID,VPA-Intent,BHIM,8896118367,True,user135@axis,user135@upi,0,Static,REF8P90P50E,True,0.049
TXN00136,Phone Number,Mobile-Peer,Paytm,9657661565,False,user136@hdfc,user136@hdfc,0,Static,REFQUAZIT7W,True,0.053
TXN00137,QR Code,POS/QR,PhonePe,7452711116,True,user137@axis,user137@axis,1,Static,REF4UTCSD5Q,True,0.036
TXN00138,QR Code,POS/QR,Paytm,9528098851,True,user138@upi,user138@paytm,1,Static,REFVRN4UFCQ,True,0.097
TXN00139,Phone Number,Mobile-Peer,PhonePe,8560494519,True,user139@upi,user139@sbi,0,Dynamic,REFTNG314LD,True,0.071
TXN00140,UPI ID,VPA-Intent,Paytm,7327315851,True,user140@sbi,user140@hdfc,0,Static,REFHCIGMLZQ,True,0.04
TXN00141,UPI ID,VPA-Intent,Google Pay,8936899809,True,user141@sbi,user141@okaxis,0,Dynamic,REFN0IC8CF7,True,0.022
TXN00142,Phone Number,Mobile-Peer,BHIM,7402445502,True,user142@upi,user142@icici,0,Static,REF3K3MSRP2,True,0.025
TXN00143,QR Code,POS/QR,BHIM,9961201836,True,user143@okaxis,user143@hdfc,1,Static,REFXDIB8KQV,True,0.094
TXN00144,Phone Number,Mobile-Peer,PhonePe,8752545991,True,user144@axis,user144@hdfc,0,Static,REFF9P9H52O,True,0.035
TXN00145,Phone Number,Mobile-Peer,PhonePe,9229014767,True,user145@axis,user145@hdfc,0,Static,REFP43B6ZQM,True,0.064
TXN00146,Phone Number,Mobile-Peer,Google Pay,7764381561,True,user146@icici,user146@icici,0,Static,REF49HWC3ZV,True,0.075
TXN00147,QR Code,POS/QR,Paytm,8978403690,True,user147@hdfc,user147@okaxis,1,Dynamic,REFLTB101Y2,True,0.049
TXN00148,QR Code,POS/QR,Paytm,9343244510,False,user148@icici,user148@hdfc,1,Static,REFYJL504EV,True,0.065
TXN00149,Phone Number,Mobile-Peer,BHIM,8622683885,True,user149@hdfc,user149@okaxis,0,Static,REFJK1X5X66,True,0.007
TXN00150,Phone Number,Mobile-Peer,Google Pay,9606071596,True,user150@upi,user150@sbi,0,Dynamic,REFNQWB03GH,True,0.052
TXN00151,UPI ID,VPA-Intent,PhonePe,7664160529,True,user151@paytm,user151@icici,0,Static,REF0LS684GO,True,0.013
TXN00152,Phone Number,Mobile-Peer,PhonePe,8516136968,True,user152@upi,user152@hdfc,0,Static,REFAWJ3JIAZ,True,0.054
TXN00153,Phone Number,Mobile-Peer,PhonePe,9645352181,True,user153@paytm,user153@sbi,0,Static,REFD5XHEWLU,True,0.008
TXN00154,QR Code,POS/QR,Google Pay,7835523124,True,user154@paytm,user154@hdfc,1,Static,REF53CWSJCU,True,0.05
TXN00155,UPI ID,VPA-Intent,BHIM,9292127799,True,user155@hdfc,user155@axis,0,Static,REFZ9GQT6U6,True,0.031
TXN00156,Phone Number,Mobile-Peer,PhonePe,8995527177,True,user156@icici,user156@upi,0,Static,REFBMDAGTVS,True,0.039
TXN00157,QR Code,POS/QR,Paytm,7449058147,False,user157@hdfc,user157@hdfc,1,Static,REFSUHJV6C1,True,0.076
TXN00158,QR Code,POS/QR,PhonePe,8005411998,True,user158@paytm,user158@hdfc,1,Static,REFFI9P4M86,True,0.075
TXN00159,Phone Number,Mobile-Peer,PhonePe,8798079359,True,user159@paytm,user159@upi,0,Static,REF2Y6EUUQ6,True,0.057
TXN00160,QR Code,POS/QR,Google Pay,8820715182,True,user160@sbi,user160@axis,1,Static,REFXYNMPJ0J,True,0.063
TXN00161,Phone Number,Mobile-Peer,Google Pay,9377889255,True,user161@hdfc,user161@axis,0,Static,REFHXU5LONF,True,0.072
TXN00162,QR Code,POS/QR,BHIM,8665905151,True,user162@paytm,user162@icici,1,Dynamic,REFES8GDQB5,True,0.058
TXN00163,QR Code,POS/QR,Google Pay,7644925192,True,user163@upi,user163@sbi,1,Static,REF970LLJ8B,True,0.035
TXN00164,QR Code,POS/QR,PhonePe,8462914865,True,user164@hdfc,user164@hdfc,1,Dynamic,REFX3RX37C5,True,0.006
TXN00165,Phone Number,Mobile-Peer,Paytm,9816850542,True,user165@upi,user165@okaxis,0,Static,REF65X7SZDC,True,0.043
TXN00166,UPI ID,VPA-Intent,BHIM,9573322141,True,user166@okaxis,user166@icici,0,Static,REF1QHSV8X8,True,0.014
TXN00167,Phone Number,Mobile-Peer,Google Pay,7880592962,True,user167@hdfc,user167@okaxis,0,Static,REF6WIQDTLM,True,0.031
TXN00168,Phone Number,Mobile-Peer,PhonePe,9292706537,True,user168@sbi,user168@hdfc,0,Dynamic,REF5YC14YBT,True,0.004
TXN00169,Phone Number,Mobile-Peer,PhonePe,7473834735,True,user169@upi,user169@axis,0,Static,REFKG57LIIL,True,0.051
TXN00170,QR Code,POS/QR,PhonePe,7977468862,False,user170@okaxis,user170@hdfc,1,Dynamic,REFSZGUI2YX,True,0.089
TXN00171,QR Code,POS/QR,PhonePe,9924075818,True,user171@hdfc,user171@sbi,1,Dynamic,REFXZMK15X6,True,0.033
TXN00172,Phone Number,Mobile-Peer,BHIM,9412478261,True,user172@paytm,user172@hdfc,0,Static,REF6FN6DXI7,True,0.064
TXN00173,QR Code,POS/QR,PhonePe,9750606853,True,user173@paytm,user173@paytm,1,Static,REFJKPVT669,True,0.013
TXN00174,Phone Number,Mobile-Peer,Google Pay,8153051522,True,user174@upi,user174@okaxis,0,Static,REFIV6VYZ74,True,0.058
TXN00175,QR Code,POS/QR,Google Pay,9472779010,True,user175@hdfc,user175@paytm,1,Static,REF1ZM96JHZ,True,0.008
TXN00176,Phone Number,Mobile-Peer,Paytm,8328986143,True,user176@okaxis,user176@paytm,0,Static,REFXXZYFS4F,True,0.021
TXN00177,QR Code,POS/QR,PhonePe,8103697117,True,user177@paytm,user177@icici,1,Dynamic,REFHDSIDP3J,True,0.036
TXN00178,Phone Number,Mobile-Peer,Google Pay,7808932460,True,user178@axis,user178@upi,0,Static,REFZ4G3BKK4,True,0.013
TXN00179,UPI ID,VPA-Intent,PhonePe,7539621851,True,user179@okaxis,user179@hdfc,0,Static,REFAPZ031HS,True,0.011
TXN00180,Phone Number,Mobile-Peer,PhonePe,7888806706,True,user180@axis,user180@hdfc,0,Static,REF2UE6W74J,True,0.056
TXN00181,Phone Number,Mobile-Peer,PhonePe,8405153195,True,user181@upi,user181@okaxis,0,Dynamic,REFQ7KSLZBP,True,0.008
TXN00182,Phone Number,Mobile-Peer,Google Pay,9058527722,True,user182@okaxis,user182@upi,0,Static,REFHLZGJF5L,True,0.075
TXN00183,UPI ID,VPA-Intent,PhonePe,9704303054,True,user183@sbi,user183@axis,0,Dynamic,REFHFGSGRI6,True,0.046
TXN00184,UPI ID,VPA-Intent,Google Pay,7687403450,True,user184@icici,user184@paytm,0,Dynamic,REFRFPAURFU,True,0.021
TXN00185,Phone Number,Mobile-Peer,PhonePe,7541566765,True,user185@upi,user185@axis,0,Static,REFWY9OVAHZ,True,0.05
TXN00186,QR Code,POS/QR,BHIM,9775841616,True,user186@paytm,user186@okaxis,1,Static,REFZ7W143CM,True,0.072
TXN00187,UPI ID,VPA-Intent,Google Pay,7284511544,True,user187@hdfc,user187@axis,0,Static,REFP6JG9S25,True,0.036
TXN00188,QR Code,POS/QR,Paytm,8962757059,True,user188@paytm,user188@icici,1,Static,REF2196OTNC,True,0.062
TXN00189,QR Code,POS/QR,PhonePe,8401658202,True,user189@axis,user189@sbi,1,Dynamic,REFIKC3VYJN,True,0.092
TXN00190,Phone Number,Mobile-Peer,Paytm,7702135569,True,user190@paytm,user190@okaxis,0,Static,REF1D0R4IVL,True,0.07
TXN00191,Phone Number,Mobile-Peer,Google Pay,9927557192,True,user191@paytm,user191@axis,0,Static,REFTQPHHYN1,True,0.073
TXN00192,UPI ID,VPA-Intent,PhonePe,7565431027,False,user192@paytm,user192@sbi,0,Static,REF0ACEPCL7,True,0.053
TXN00193,UPI ID,VPA-Intent,Paytm,7681447394,True,user193@upi,user193@okaxis,0,Static,REFIO858MAF,True,0.041
TXN00194,QR Code,POS/QR,Paytm,7731217271,False,user194@icici,user194@paytm,1,Static,REF9M3STM3E,True,0.049
TXN00195,Phone Number,Mobile-Peer,BHIM,7551884422,True,user195@upi,user195@sbi,0,Static,REFXS4HNNQ8,True,0.039
TXN00196,Phone Number,Mobile-Peer,Paytm,8831323705,True,user196@axis,user196@upi,0,Dynamic,REFU4HU6GDZ,True,0.062
TXN00197,QR Code,POS/QR,PhonePe,7957829114,True,user197@okaxis,user197@okaxis,1,Static,REF60CNJMM4,True,0.092
TXN00198,UPI ID,VPA-Intent,PhonePe,8786691251,True,user198@sbi,user198@upi,0,Static,REFT0PI5WJW,True,0.005
TXN00199,UPI ID,VPA-Intent,Google Pay,8785289226,True,user199@sbi,user199@upi,0,Dynamic,REF5LO6WVL2,True,0.053
TXN00200,QR Code,POS/QR,PhonePe,7018242253,True,user200@sbi,user200@axis,1,Dynamic,REFNRVFJV3K,True,0.085
TXN00201,QR Code,POS/QR,Paytm,8841438424,True,user201@paytm,user201@icici,1,Static,REF13EDUHZS,True,0.009
